Date,Systematic Risk
2015-01-06,-0.011176631972302833
2015-01-07,0.030968253018884843
2015-01-08,0.015027780871661598
2015-01-09,0.007272111352177126
2015-01-13,-0.10987005543975611
2015-01-14,-0.1535396103999877
2015-01-15,0.08191856294411928
2015-01-16,0.022650317904717533
2015-01-21,0.07178130323108035
2015-01-22,0.05886679378677575
2015-01-23,0.0018057200612491796
2015-01-27,-0.09103178885572288
2015-01-28,-0.09879486956147314
2015-01-29,0.032032532752705324
2015-01-30,0.009860760318695044
2015-02-03,-0.005645128180263019
2015-02-04,-0.01319956746092776
2015-02-05,0.0005254852651072805
2015-02-06,0.01638811373425321
2015-02-10,0.01904797588236617
2015-02-11,-0.0038472522151158425
2015-02-12,0.061649813892803114
2015-02-13,0.05768582010703843
2015-02-18,-0.031028270205968853
2015-02-19,0.014913139125769484
2015-02-20,0.017048956987391742
2015-02-24,0.0029194968841166407
2015-02-25,-6.870102550965762e-05
2015-02-26,-0.0013671495079681133
2015-02-27,0.0419369195655376
2015-03-03,0.005651656793872001
2015-03-04,-0.018070396473801615
2015-03-05,0.015726917505293043
2015-03-06,-0.034702291014364194
2015-03-10,-0.018969400692392592
2015-03-11,-0.002104901237035076
2015-03-12,-0.0031492335660636326
2015-03-13,-0.03440084769909938
2015-03-17,-0.006399069168996403
2015-03-18,-0.05992617095746623
2015-03-19,0.010297285147845421
2015-03-20,0.0196801272095039
2015-03-24,-0.05895726847290239
2015-03-25,-0.04739845680819885
2015-03-26,0.007076901129211432
2015-03-27,-0.00624234404900343
2015-03-31,-0.036422464017954216
2015-04-01,0.013328472485779942
2015-04-02,0.011488762382055779
2015-04-07,-0.001958271740823735
2015-04-08,-0.02268782934752497
2015-04-09,0.012521861506217431
2015-04-10,-0.010824217030451725
2015-04-14,-0.020315672174936246
2015-04-15,0.033199873180532476
2015-04-16,0.013279539679574712
2015-04-17,-0.04685177913036735
2015-04-21,0.025000576164423444
2015-04-22,0.012707754532203538
2015-04-23,0.017361319905898683
2015-04-24,0.05183639956046151
2015-04-28,-0.011410473169373065
2015-04-29,-0.006014132696285855
2015-04-30,0.01182734940513655
2015-05-01,0.009943654412708742
2015-05-05,-0.03359899609139195
2015-05-06,-0.030104550601484203
2015-05-07,0.0377762967824084
2015-05-08,0.004210746870734448
2015-05-12,-0.000664327923281437
2015-05-13,-0.011322427928673362
2015-05-14,0.029242486565860905
2015-05-15,-0.006463428127717041
2015-05-19,-0.01406067329551071
2015-05-20,0.0131546947589369
2015-05-21,0.013777138932267004
2015-05-22,0.006134116278628545
2015-05-27,0.04257384524424228
2015-05-28,0.002378247519024064
2015-05-29,-0.004128756643357329
2015-06-02,0.0015073809787163116
2015-06-03,-0.0040496917179748924
2015-06-04,-0.011996997284111808
2015-06-05,0.0019199254007309656
2015-06-09,0.008645516931445732
2015-06-10,0.013130062144560504
2015-06-11,0.004912727157931573
2015-06-12,-0.024004155144296106
2015-06-16,0.053018600785314875
2015-06-17,0.002884082391872286
2015-06-18,0.02788859184095914
2015-06-19,-0.024860042905282556
2015-06-23,-0.011138096106287501
2015-06-24,-0.02339124586912328
2015-06-25,0.006093625491391513
2015-06-26,-0.01461777580045153
2015-06-30,0.021216156126374057
2015-07-01,-0.001813650883566643
2015-07-02,-0.006774038363264802
2015-07-07,-0.0144283845262518
2015-07-08,-0.011960234654711095
2015-07-09,-0.004656402148802287
2015-07-10,0.06684086335483572
2015-07-14,0.004691443123529654
2015-07-15,-0.011700204764990865
2015-07-16,0.01638383226634825
2015-07-17,0.04533629681804155
2015-07-21,-0.005363453136317928
2015-07-22,-0.03004677563869871
2015-07-23,-0.008736202345800224
2015-07-24,0.03778519799883349
2015-07-28,0.014808458719330541
2015-07-29,0.005207254162611015
2015-07-30,0.0031697174918293093
2015-07-31,-0.019656089089096978
2015-08-04,0.005973976116037511
2015-08-05,0.004784080372780812
2015-08-06,-0.024045635937339622
2015-08-07,0.04922610294376951
2015-08-11,-0.0016872311989872657
2015-08-12,-0.002305176906736247
2015-08-13,-0.013855222990031555
2015-08-14,0.011306041249688701
2015-08-18,-0.13900576926238145
2015-08-19,0.032410066636966356
2015-08-20,-0.01952408067273239
2015-08-21,-0.08720997343211795
2015-08-25,0.02006169154762465
2015-08-26,0.11787585670905938
2015-08-27,0.06015785454592639
2015-08-28,0.02826574283860141
2015-09-01,-0.08068256202812463
2015-09-02,0.05727793066469393
2015-09-03,-0.013399128665912115
2015-09-04,-0.0214145453088494
2015-09-09,-0.04338961801825709
2015-09-10,0.027740792130888408
2015-09-11,0.012770011303879418
2015-09-15,0.021698697028785956
2015-09-16,0.014863138148243034
2015-09-17,0.008038666528142932
2015-09-18,-0.010380773703067815
2015-09-22,-0.023630664041350717
2015-09-23,-0.00273833791639734
2015-09-24,0.02330399089654568
2015-09-25,-0.0037544442975346913
2015-09-29,-0.008076925726996562
2015-09-30,0.04206705171259297
2015-10-01,0.0010715108436292165
2015-10-02,0.03654370673869804
2015-10-06,0.026850420602969032
2015-10-07,-0.003533616271731052
2015-10-08,0.0022934779614797803
2015-10-09,0.012817647124758372
2015-10-13,0.011541041280152556
2015-10-14,0.014745906861582378
2015-10-15,0.02856624990648028
2015-10-16,0.03890236557335226
2015-10-20,0.005137197279679578
2015-10-21,-0.025567641114464416
2015-10-22,0.05535826009111025
2015-10-23,0.07251234143094268
2015-10-27,0.013854201714382418
2015-10-28,0.054699643481604734
2015-10-29,0.010718774894113573
2015-10-30,0.03331740564015057
2015-11-03,0.08317268078812556
2015-11-04,0.009324723512417522
